state,year,sex,race,deaths,population,crude_rate,age_adjusted_rate,years_pll
Alabama,2023,Males,White,578,1734260,33.33,32.24,"10,506"
Alabama,2023,Males,Black,91,633291,14.37,14.87,"2,416"
Alabama,2023,Males,American Indian / Alaska Native,0**,19472,0.00**,0.00**,
Alabama,2023,Females,White,160,1785216,8.96,8.9,"3,009"
Alabama,2023,Females,Black,21,726984,2.89,2.89,602
Alabama,2022,Males,White,570,1723722,33.07,31.62,"9,637"
Alabama,2022,Males,Black,98,631445,15.52,16.04,"2,811"
Alabama,2022,Males,HI Native / Pacific Islander,0**,3131,0.00**,0.00**,
Alabama,2022,Females,White,145,1773310,8.18,8,"2,503"
Alabama,2022,Females,Black,13**,723405,1.80**,1.83**,426
Alabama,2022,Females,American Indian / Alaska Native,0**,18361,0.00**,0.00**,
Alabama,2022,Females,HI Native / Pacific Islander,0**,2741,0.00**,0.00**,
Alabama,2022,Females,More than One Race,0**,50110,0.00**,0.00**,
Alabama,2021,Males,White,566,1717594,32.95,31.42,"10,696"
Alabama,2021,Males,Black,102,629970,16.19,16.12,"3,053"
Alabama,2021,Females,White,124,1765593,7.02,6.46,"1,952"
Alabama,2021,Females,Black,17**,721263,2.36**,2.32**,452
Alabama,2021,Females,HI Native / Pacific Islander,0**,2685,0.00**,0.00**,
Alabama,2020,Males,White,547,1713900,31.92,31.59,"10,844"
Alabama,2020,Males,Black,71,629604,11.28,11.38,"1,849"
Alabama,2020,Females,White,148,1758459,8.42,8.32,"2,845"
Alabama,2020,Females,Black,12**,719266,1.67**,1.71**,364
Alabama,2020,Females,HI Native / Pacific Islander,0**,2675,0.00**,0.00**,
Alabama,2019,Males,White,552,1662779,33.2,32.62,"10,523"
Alabama,2019,Males,Black,67,611076,10.96,10.85,"1,831"
Alabama,2019,Males,HI Native / Pacific Islander,0**,2757,0.00**,0.00**,
Alabama,2019,Females,White,155,1727706,8.97,8.89,"2,830"
Alabama,2019,Females,Black,15**,704780,2.13**,2.16**,496
Alabama,2019,Females,HI Native / Pacific Islander,0**,2451,0.00**,0.00**,
Alabama,2018,Males,White,561,1659759,33.8,32.66,"10,909"
Alabama,2018,Males,Black,74,609677,12.14,12,"2,102"
Alabama,2018,Males,American Indian / Alaska Native,0**,17171,0.00**,0.00**,
Alabama,2018,Males,HI Native / Pacific Islander,0**,2725,0.00**,0.00**,
Alabama,2018,Males,More than One Race,0**,41703,0.00**,0.00**,
Alabama,2018,Females,White,160,1722566,9.29,9.47,"3,290"
Alabama,2018,Females,Black,17**,702416,2.42**,2.35**,530
Alabama,2018,Females,HI Native / Pacific Islander,0**,2443,0.00**,0.00**,
Alabama,2018,Females,More than One Race,0**,43091,0.00**,0.00**,
Alaska,2023,Males,White,90,251491,35.79,33.86,"1,613"
Alaska,2023,Males,American Indian / Alaska Native,47,58325,80.58,79.66,"1,513"
Alaska,2023,Males,More than One Race,14**,30259,46.27**,63.09**,406
Alaska,2023,Females,White,18**,219006,8.22**,7.64**,390
Alaska,2023,Females,American Indian / Alaska Native,21,56061,37.46,40.99,670
