state,state_code,age_group_years,sex,race,race_code,year,deaths,population
Alabama,1,20-24,1,White,4,2018,10,101325
Alabama,1,20-24,1,White,4,2020,12,102201
Alabama,1,25-29,1,White,4,2018,14,108640
Alabama,1,25-29,1,White,4,2020,10,105338
Alabama,1,30-34,1,White,4,2022,11,110606
Alabama,1,30-34,1,White,4,2023,14,111972
Alabama,1,35-39,1,White,4,2018,20,102106
Alabama,1,35-39,1,White,4,2019,19,102699
Alabama,1,35-39,1,White,4,2020,15,102750
Alabama,1,35-39,1,White,4,2022,10,104835
Alabama,1,35-39,1,White,4,2023,16,107101
Alabama,1,40-44,1,White,4,2018,19,99387
Alabama,1,40-44,1,White,4,2019,16,99526
Alabama,1,40-44,1,White,4,2020,17,100354
Alabama,1,40-44,1,White,4,2022,13,104579
Alabama,1,40-44,1,White,4,2023,14,107089
Alabama,1,40-44,1,White,4,2024,12,107089
Alabama,1,45-49,1,White,4,2018,16,110900
Alabama,1,45-49,1,White,4,2019,20,109173
Alabama,1,45-49,1,White,4,2020,13,106320
Alabama,1,45-49,1,White,4,2021,13,104716
Alabama,1,45-49,1,White,4,2022,22,102351
Alabama,1,45-49,1,White,4,2023,17,103317
Alabama,1,50-54,1,White,4,2018,21,112959
Alabama,1,50-54,1,White,4,2019,15,110399
Alabama,1,50-54,1,White,4,2020,15,109860
Alabama,1,50-54,1,White,4,2021,15,113933
Alabama,1,50-54,1,White,4,2022,17,113437
Alabama,1,50-54,1,White,4,2023,19,114086
Alabama,1,50-54,1,White,4,2024,11,114086
Alabama,1,55-59,1,White,4,2018,17,123139
Alabama,1,55-59,1,White,4,2019,15,123141
Alabama,1,55-59,1,White,4,2020,17,121856
Alabama,1,55-59,1,White,4,2021,10,121783
Alabama,1,55-59,1,White,4,2022,11,117243
Alabama,1,55-59,1,White,4,2023,21,115448
Alabama,1,55-59,1,White,4,2024,12,115448
Alabama,1,60-64,1,White,4,2018,11,119685
Alabama,1,60-64,1,White,4,2019,21,120441
Alabama,1,60-64,1,White,4,2020,16,121269
Alabama,1,60-64,1,White,4,2021,14,123878
Alabama,1,60-64,1,White,4,2022,14,122589
Alabama,1,60-64,1,White,4,2023,13,123270
Alabama,1,65-69,1,White,4,2018,12,106484
Alabama,1,65-69,1,White,4,2021,13,113111
Alabama,1,65-69,1,White,4,2023,11,116244
Arizona,4,15-19,1,White,4,2019,12,184631
Arizona,4,15-19,1,White,4,2022,11,184440
Arizona,4,20-24,1,White,4,2019,13,188511
Arizona,4,20-24,1,White,4,2020,17,192697
Arizona,4,20-24,1,White,4,2021,17,188346
Arizona,4,20-24,1,White,4,2022,12,200920
Arizona,4,20-24,1,White,4,2024,12,191655
Arizona,4,25-29,1,White,4,2018,21,196197
Arizona,4,25-29,1,White,4,2019,13,198730
Arizona,4,25-29,1,White,4,2020,14,200293
Arizona,4,25-29,1,White,4,2021,15,191267
Arizona,4,25-29,1,White,4,2022,14,191438
Arizona,4,25-29,1,White,4,2023,21,191999
Arizona,4,25-29,1,White,4,2024,13,191999
Arizona,4,30-34,1,White,4,2018,15,179264
Arizona,4,30-34,1,White,4,2020,24,190086
Arizona,4,30-34,1,White,4,2021,18,189059
Arizona,4,30-34,1,White,4,2022,16,192450
Arizona,4,30-34,1,White,4,2023,20,195617
Arizona,4,30-34,1,White,4,2024,18,195617
Arizona,4,35-39,1,White,4,2018,23,180565
Arizona,4,35-39,1,White,4,2019,13,182887
Arizona,4,35-39,1,White,4,2020,21,184422
Arizona,4,35-39,1,White,4,2021,20,180968
Arizona,4,35-39,1,White,4,2022,17,179733
Arizona,4,35-39,1,White,4,2023,14,182094
Arizona,4,35-39,1,White,4,2024,15,182094
Arizona,4,40-44,1,White,4,2018,19,170524
Arizona,4,40-44,1,White,4,2019,20,172436
Arizona,4,40-44,1,White,4,2020,21,176220
Arizona,4,40-44,1,White,4,2021,18,175828
Arizona,4,40-44,1,White,4,2022,27,177719
Arizona,4,40-44,1,White,4,2023,28,181567
Arizona,4,40-44,1,White,4,2024,18,181567
Arizona,4,45-49,1,White,4,2018,18,179374
Arizona,4,45-49,1,White,4,2019,24,179343
Arizona,4,45-49,1,White,4,2020,20,178550
Arizona,4,45-49,1,White,4,2021,18,169914
Arizona,4,45-49,1,White,4,2022,20,168114
Arizona,4,45-49,1,White,4,2023,23,169530
Arizona,4,45-49,1,White,4,2024,12,169530
Arizona,4,50-54,1,White,4,2018,22,179410
Arizona,4,50-54,1,White,4,2019,35,178361
Arizona,4,50-54,1,White,4,2020,19,180981
Arizona,4,50-54,1,White,4,2021,26,179371
Arizona,4,50-54,1,White,4,2022,18,179577
Arizona,4,50-54,1,White,4,2023,19,180857
Arizona,4,50-54,1,White,4,2024,24,180857
Arizona,4,55-59,1,White,4,2018,28,196676
Arizona,4,55-59,1,White,4,2019,26,197887
Arizona,4,55-59,1,White,4,2020,33,198075
Arizona,4,55-59,1,White,4,2021,21,189500
Arizona,4,55-59,1,White,4,2022,27,184600
Arizona,4,55-59,1,White,4,2023,20,183554
Arizona,4,55-59,1,White,4,2024,17,183554
Arizona,4,60-64,1,White,4,2018,20,197455
Arizona,4,60-64,1,White,4,2019,28,200894
Arizona,4,60-64,1,White,4,2020,21,205297
Arizona,4,60-64,1,White,4,2021,24,200508
Arizona,4,60-64,1,White,4,2022,29,199246
Arizona,4,60-64,1,White,4,2023,23,202365
Arizona,4,60-64,1,White,4,2024,20,202365
Arizona,4,65-69,1,White,4,2018,23,186259
Arizona,4,65-69,1,White,4,2019,19,190384
Arizona,4,65-69,1,White,4,2020,15,197042
Arizona,4,65-69,1,White,4,2021,15,192670
Arizona,4,65-69,1,White,4,2022,13,194392
Arizona,4,65-69,1,White,4,2023,21,200662
Arizona,4,65-69,1,White,4,2024,16,200662
Arizona,4,70-74,1,White,4,2018,20,162784
Arizona,4,70-74,1,White,4,2019,21,170573
Arizona,4,70-74,1,White,4,2020,13,181018
Arizona,4,70-74,1,White,4,2021,17,179040
Arizona,4,70-74,1,White,4,2022,15,175932
Arizona,4,70-74,1,White,4,2023,16,180301
Arizona,4,75-79,1,White,4,2019,16,124215
Arizona,4,75-79,1,White,4,2021,10,124801
Arizona,4,75-79,1,White,4,2022,16,137244
Arizona,4,75-79,1,White,4,2023,15,144818
Arizona,4,80-84,1,White,4,2024,10,91347
Arkansas,5,25-29,1,White,4,2018,10,77213
Arkansas,5,25-29,1,White,4,2021,11,72386
Arkansas,5,30-34,1,White,4,2019,12,73446
Arkansas,5,30-34,1,White,4,2021,16,75953
Arkansas,5,30-34,1,White,4,2023,10,77730
Arkansas,5,35-39,1,White,4,2018,12,73870
Arkansas,5,35-39,1,White,4,2019,12,74201
Arkansas,5,35-39,1,White,4,2021,11,74014
Arkansas,5,35-39,1,White,4,2022,15,73288
Arkansas,5,40-44,1,White,4,2018,15,69491
Arkansas,5,40-44,1,White,4,2021,16,72574
Arkansas,5,45-49,1,White,4,2018,12,74988
Arkansas,5,45-49,1,White,4,2019,14,74268
Arkansas,5,45-49,1,White,4,2021,12,70331
Arkansas,5,50-54,1,White,4,2018,10,75317
Arkansas,5,50-54,1,White,4,2019,14,72813
Arkansas,5,50-54,1,White,4,2021,15,73415
Arkansas,5,50-54,1,White,4,2024,12,74582
Arkansas,5,55-59,1,White,4,2018,10,82410
Arkansas,5,55-59,1,White,4,2019,10,82747
Arkansas,5,55-59,1,White,4,2020,19,82070
Arkansas,5,60-64,1,White,4,2018,10,79852
Arkansas,5,60-64,1,White,4,2023,10,81166
Arkansas,5,65-69,1,White,4,2022,11,74663
California,6,10-14,1,White,4,2020,12,870883
California,6,10-14,1,White,4,2021,22,889123
California,6,10-14,1,White,4,2022,13,851264
California,6,10-14,1,White,4,2023,17,836101
California,6,15-19,1,Asian,1,2023,10,173453
California,6,15-19,1,White,4,2018,30,894741
California,6,15-19,1,White,4,2019,21,889107
California,6,15-19,1,White,4,2020,38,880576
California,6,15-19,1,White,4,2021,36,898954
California,6,15-19,1,White,4,2022,22,889570
California,6,15-19,1,White,4,2023,37,900423
California,6,15-19,1,White,4,2024,32,900423
California,6,15-19,1,More than one race,3,2020,10,76853
California,6,20-24,1,Asian,1,2018,18,181559
California,6,20-24,1,Asian,1,2021,14,166505
California,6,20-24,1,Asian,1,2022,12,176548
California,6,20-24,1,Asian,1,2023,14,172143
California,6,20-24,1,Asian,1,2024,14,172143
California,6,20-24,1,White,4,2018,56,940117
California,6,20-24,1,White,4,2019,45,920102
California,6,20-24,1,White,4,2020,34,903395
California,6,20-24,1,White,4,2021,38,885291
California,6,20-24,1,White,4,2022,42,918705
California,6,20-24,1,White,4,2023,27,872208
California,6,20-24,1,White,4,2024,25,872208
California,6,20-24,1,More than one race,3,2020,10,70499
California,6,20-24,1,More than one race,3,2024,10,71902
California,6,25-29,1,Asian,1,2020,12,232519
California,6,25-29,1,Asian,1,2021,11,216427
California,6,25-29,1,Asian,1,2022,13,213135
California,6,25-29,1,Asian,1,2024,13,211406
California,6,25-29,1,Black or African American,2,2021,10,98266
California,6,25-29,1,Black or African American,2,2023,10,91533
California,6,25-29,1,White,4,2018,56,1048432
California,6,25-29,1,White,4,2019,46,1039031
California,6,25-29,1,White,4,2020,52,1013590
California,6,25-29,1,White,4,2021,50,966089
California,6,25-29,1,White,4,2022,50,931436
California,6,25-29,1,White,4,2023,48,916337
California,6,25-29,1,White,4,2024,25,916337
California,6,30-34,1,Asian,1,2019,12,265043
California,6,30-34,1,Asian,1,2020,11,268279
California,6,30-34,1,Asian,1,2021,12,268537
California,6,30-34,1,Asian,1,2023,12,269854
California,6,30-34,1,Black or African American,2,2022,11,104555
California,6,30-34,1,White,4,2018,56,973441
California,6,30-34,1,White,4,2019,50,979682
California,6,30-34,1,White,4,2020,60,991779
California,6,30-34,1,White,4,2021,50,992142
California,6,30-34,1,White,4,2022,62,978068
California,6,30-34,1,White,4,2023,55,980471
California,6,30-34,1,White,4,2024,40,980471
California,6,30-34,1,More than one race,3,2023,11,62168
California,6,35-39,1,Asian,1,2018,14,252355
California,6,35-39,1,Asian,1,2020,13,260010
California,6,35-39,1,White,4,2018,82,936080
California,6,35-39,1,White,4,2019,64,938360
California,6,35-39,1,White,4,2020,53,933027
California,6,35-39,1,White,4,2021,71,932553
California,6,35-39,1,White,4,2022,55,910472
California,6,35-39,1,White,4,2023,54,915423
California,6,35-39,1,White,4,2024,32,915423
California,6,40-44,1,Asian,1,2019,10,238774
California,6,40-44,1,Asian,1,2021,11,242472
California,6,40-44,1,Asian,1,2023,11,256401
California,6,40-44,1,White,4,2018,50,862723
California,6,40-44,1,White,4,2019,53,858962
California,6,40-44,1,White,4,2020,45,861882
California,6,40-44,1,White,4,2021,47,875535
California,6,40-44,1,White,4,2022,44,869768
California,6,40-44,1,White,4,2023,53,882731
California,6,40-44,1,White,4,2024,47,882731
California,6,45-49,1,Asian,1,2018,11,241699
California,6,45-49,1,Asian,1,2019,10,243188
California,6,45-49,1,Asian,1,2020,11,242678
California,6,45-49,1,Asian,1,2023,10,240708
California,6,45-49,1,White,4,2018,74,902400
California,6,45-49,1,White,4,2019,56,877398
California,6,45-49,1,White,4,2020,64,850283
California,6,45-49,1,White,4,2021,43,829890
California,6,45-49,1,White,4,2022,65,809644
California,6,45-49,1,White,4,2023,44,812859
California,6,45-49,1,White,4,2024,35,812859
California,6,50-54,1,Asian,1,2021,11,225521
California,6,50-54,1,Asian,1,2022,13,231863
California,6,50-54,1,Asian,1,2023,12,239219
California,6,50-54,1,Asian,1,2024,11,239219
California,6,50-54,1,White,4,2018,91,898350
California,6,50-54,1,White,4,2019,99,878859
California,6,50-54,1,White,4,2020,77,871879
California,6,50-54,1,White,4,2021,64,872190
California,6,50-54,1,White,4,2022,60,850769
California,6,50-54,1,White,4,2023,58,842778
California,6,50-54,1,White,4,2024,44,842778
California,6,55-59,1,Asian,1,2018,11,212235
California,6,55-59,1,Asian,1,2019,10,214480
California,6,55-59,1,Asian,1,2021,12,212619
California,6,55-59,1,Asian,1,2023,17,213516
California,6,55-59,1,White,4,2018,73,925806
California,6,55-59,1,White,4,2019,96,917211
California,6,55-59,1,White,4,2020,76,897710
California,6,55-59,1,White,4,2021,69,877130
California,6,55-59,1,White,4,2022,69,842485
California,6,55-59,1,White,4,2023,68,831211
California,6,55-59,1,White,4,2024,52,831211
California,6,60-64,1,White,4,2018,94,853607
California,6,60-64,1,White,4,2019,75,852575
California,6,60-64,1,White,4,2020,53,853442
California,6,60-64,1,White,4,2021,52,849168
California,6,60-64,1,White,4,2022,68,834875
California,6,60-64,1,White,4,2023,64,838285
California,6,60-64,1,White,4,2024,45,838285
California,6,65-69,1,White,4,2018,48,719717
California,6,65-69,1,White,4,2019,43,731409
California,6,65-69,1,White,4,2020,49,739282
California,6,65-69,1,White,4,2021,47,743131
California,6,65-69,1,White,4,2022,56,741987
California,6,65-69,1,White,4,2023,50,757276
California,6,65-69,1,White,4,2024,36,757276
California,6,70-74,1,White,4,2018,33,580874
California,6,70-74,1,White,4,2019,38,602160
California,6,70-74,1,White,4,2020,40,618394
California,6,70-74,1,White,4,2021,36,628892
California,6,70-74,1,White,4,2022,40,619941
California,6,70-74,1,White,4,2023,40,633462
California,6,70-74,1,White,4,2024,27,633462
California,6,75-79,1,White,4,2018,24,409038
California,6,75-79,1,White,4,2019,20,426026
California,6,75-79,1,White,4,2020,21,439582
California,6,75-79,1,White,4,2021,27,432312
California,6,75-79,1,White,4,2022,26,471591
California,6,75-79,1,White,4,2023,39,490798
California,6,75-79,1,White,4,2024,17,490798
California,6,80-84,1,White,4,2018,15,285301
California,6,80-84,1,White,4,2019,15,292829
California,6,80-84,1,White,4,2020,10,296912
California,6,80-84,1,White,4,2021,15,285605
California,6,80-84,1,White,4,2022,13,304434
California,6,80-84,1,White,4,2023,26,316023
California,6,80-84,1,White,4,2024,15,316023
Colorado,8,10-14,1,White,4,2018,11,148987
Colorado,8,15-19,1,White,4,2018,16,147737
Colorado,8,15-19,1,White,4,2019,15,148231
Colorado,8,15-19,1,White,4,2020,17,148782
Colorado,8,15-19,1,White,4,2021,14,151241
Colorado,8,15-19,1,White,4,2022,10,150440
Colorado,8,15-19,1,White,4,2024,14,152783
Colorado,8,20-24,1,White,4,2018,17,150630
Colorado,8,20-24,1,White,4,2019,18,150260
Colorado,8,20-24,1,White,4,2020,19,151845
Colorado,8,20-24,1,White,4,2021,18,151535
Colorado,8,20-24,1,White,4,2022,17,160508
Colorado,8,20-24,1,White,4,2023,18,154231
Colorado,8,20-24,1,White,4,2024,19,154231
Colorado,8,25-29,1,White,4,2018,22,184009
Colorado,8,25-29,1,White,4,2019,26,186186
Colorado,8,25-29,1,White,4,2020,18,185566
Colorado,8,25-29,1,White,4,2021,18,179557
Colorado,8,25-29,1,White,4,2022,21,177932
Colorado,8,25-29,1,White,4,2023,24,179376
Colorado,8,30-34,1,White,4,2018,29,180996
Colorado,8,30-34,1,White,4,2019,22,184682
Colorado,8,30-34,1,White,4,2020,26,189011
Colorado,8,30-34,1,White,4,2021,30,189430
Colorado,8,30-34,1,White,4,2022,30,189868
Colorado,8,30-34,1,White,4,2023,20,193585
